timestamp,mouseX,mouseY,mouseInTarget
1616776752758,925,500,0
1616776752803,925,501,0
1616776752839,925,502,0
1616776752854,925,503,0
1616776752860,924,503,0
1616776752863,924,504,0
1616776752869,924,505,0
1616776752872,924,506,0
1616776752877,923,507,0
1616776752883,923,508,0
1616776752887,922,509,0
1616776752892,921,511,0
1616776752899,920,512,0
1616776752902,920,513,0
1616776752907,919,514,0
1616776752913,918,516,0
1616776752917,917,517,0
1616776752922,916,518,0
1616776752929,915,519,0
1616776752932,914,520,0
1616776752937,912,521,0
1616776752943,910,523,0
1616776752947,909,524,0
1616776752952,907,525,0
1616776752958,905,526,0
1616776752961,903,528,0
1616776752967,900,529,0
1616776752973,898,530,0
1616776752976,895,531,0
1616776752982,893,532,0
1616776752988,890,533,0
1616776752991,887,534,0
1616776752997,884,535,0
1616776753003,881,536,0
1616776753006,877,537,0
1616776753013,874,537,0
1616776753018,871,538,0
1616776753021,867,539,0
1616776753027,863,540,0
1616776753034,860,541,0
1616776753036,856,541,0
1616776753042,852,542,0
1616776753045,848,543,0
1616776753051,845,543,0
1616776753058,841,544,0
1616776753060,837,544,0
1616776753066,833,545,0
1616776753072,830,545,0
1616776753075,826,546,0
1616776753082,822,546,0
1616776753087,818,546,0
1616776753090,814,546,0
1616776753096,810,546,0
1616776753102,806,546,0
1616776753106,802,546,0
1616776753112,798,546,0
1616776753117,793,546,0
1616776753120,789,546,0
1616776753126,785,546,0
1616776753133,781,546,0
1616776753135,776,546,0
1616776753141,772,546,0
1616776753147,767,546,0
1616776753149,763,546,0
1616776753156,758,546,0
1616776753162,754,547,0
1616776753165,749,547,0
1616776753171,745,547,0
1616776753177,740,547,0
1616776753179,735,547,0
1616776753186,731,547,0
1616776753192,726,547,0
1616776753195,721,547,0
1616776753201,717,548,0
1616776753207,712,548,0
1616776753210,708,548,0
1616776753216,703,548,0
1616776753222,698,548,0
1616776753225,694,548,0
1616776753231,689,548,0
1616776753234,684,549,0
1616776753240,680,549,0
1616776753246,675,549,0
1616776753249,670,549,0
1616776753255,666,549,0
1616776753261,661,549,0
1616776753264,657,549,0
1616776753270,652,549,0
1616776753276,648,549,0
1616776753279,643,550,0
1616776753285,639,550,0
1616776753292,634,550,0
1616776753295,630,549,1
1616776753300,626,549,1
1616776753306,622,549,1
1616776753310,618,549,1
1616776753315,614,548,1
1616776753321,610,548,1
1616776753324,606,548,1
1616776753331,602,547,1
1616776753336,598,547,1
1616776753339,595,546,1
1616776753345,591,546,1
1616776753351,587,545,1
1616776753354,584,545,1
1616776753360,580,544,1
1616776753366,576,544,1
1616776753369,573,543,1
1616776753375,569,543,1
1616776753381,565,542,1
1616776753384,562,542,1
1616776753390,558,541,1
1616776753396,555,541,1
1616776753399,551,541,1
1616776753405,548,540,1
1616776753408,544,540,1
1616776753414,541,539,1
1616776753420,537,539,1
1616776753424,533,538,1
1616776753430,530,538,1
1616776753435,527,537,1
1616776753439,523,537,1
1616776753444,520,536,1
1616776753450,516,535,1
1616776753454,513,535,1
1616776753459,510,534,1
1616776753465,507,534,1
1616776753469,503,533,1
1616776753474,500,532,1
1616776753480,497,532,1
1616776753483,494,531,1
1616776753490,492,530,1
1616776753495,489,530,1
1616776753498,486,529,1
1616776753504,484,528,1
1616776753511,481,527,1
1616776753513,479,527,1
1616776753519,476,526,1
1616776753525,474,525,1
1616776753528,472,524,1
1616776753535,469,523,1
1616776753540,467,522,1
1616776753543,465,521,1
1616776753549,463,520,1
1616776753555,460,519,1
1616776753557,458,518,1
1616776753573,451,515,1
1616776753579,449,514,1
1616776753586,447,513,1
1616776753589,444,512,1
1616776753594,442,511,1
1616776753597,439,509,1
1616776753604,437,508,1
1616776753609,435,507,1
1616776753612,432,506,1
1616776753619,430,505,1
1616776753624,428,503,1
1616776753627,425,502,1
1616776753633,423,500,1
1616776753640,421,499,1
1616776753643,418,497,1
1616776753648,416,496,1
1616776753654,414,494,1
1616776753657,412,492,1
1616776753664,410,491,1
1616776753669,408,489,1
1616776753672,406,487,1
1616776753678,404,485,1
1616776753686,402,483,1
1616776753687,400,481,1
1616776753693,399,479,1
1616776753699,397,477,1
1616776753702,395,475,1
1616776753708,393,473,1
1616776753717,392,471,1
1616776753717,390,469,1
1616776753723,389,467,1
1616776753729,387,464,1
1616776753732,386,462,1
1616776753738,384,460,1
1616776753746,383,458,1
1616776753747,381,455,1
1616776753753,379,453,1
1616776753759,378,451,1
1616776753762,376,449,1
1616776753768,375,446,1
1616776753771,373,444,1
1616776753777,372,442,1
1616776753783,370,439,1
1616776753787,369,437,1
1616776753792,367,435,1
1616776753798,366,432,1
1616776753801,365,430,1
1616776753807,364,427,1
1616776753813,363,424,1
1616776753816,362,422,1
1616776753822,361,419,1
1616776753829,360,416,1
1616776753831,359,413,1
1616776753837,359,410,1
1616776753843,358,408,1
1616776753846,357,405,1
1616776753852,356,402,1
1616776753858,356,399,1
1616776753861,355,397,1
1616776753867,354,394,1
1616776753873,353,391,1
1616776753876,352,388,1
1616776753882,351,385,1
1616776753888,351,383,1
1616776753891,350,380,1
1616776753897,349,377,1
1616776753903,348,374,1
1616776753906,347,371,1
1616776753912,346,368,1
1616776753918,345,365,1
1616776753921,345,362,1
1616776753927,344,359,1
1616776753933,343,356,1
1616776753936,342,354,1
1616776753942,342,351,1
1616776753946,341,348,1
1616776753951,340,345,1
1616776753957,339,342,1
1616776753960,339,339,1
1616776753966,338,337,1
1616776753972,337,334,1
1616776753976,337,331,1
1616776753981,336,328,1
1616776753987,336,326,1
1616776753990,336,323,1
1616776753996,335,320,1
1616776754002,335,318,1
1616776754005,335,315,1
1616776754011,335,312,1
