software mouseReMoCo;version 1.3.0;isWithLSL false;screenWidth 1902;screenHeight 973;centerX 951;centerY 486;autoStart 3600;cycleMaxNumber 6;cycleDuration 20;borderColor java.awt.Color[r=255,g=255,b=255];textColor java.awt.Color[r=255,g=255,b=255];backgroundColor java.awt.Color[r=0,g=0,b=0];cursorColorRecord java.awt.Color[r=255,g=0,b=0];cursorColorWait java.awt.Color[r=255,g=255,b=0];task circular;cornerX 545;cornerY 80;externalRadius 406;internalRadius 326;borderRadius 1;cursorRadius 16;indexOfDifficulty 48.86179212285402;taskRadius 365.5;taskTolerance 47
2025-11-24 02:22:12.357 +0100

timestamp,mouseX,mouseY,mouseInTarget
1763947337033,943,126,1
1763947337044,946,124,1
1763947337060,947,124,1
1763947337063,949,124,1
1763947337075,952,124,1
1763947337093,953,124,1
1763947337095,954,124,1
1763947337107,955,124,1
1763947337111,956,124,1
1763947337123,957,124,1
1763947337127,958,124,1
1763947337140,959,124,1
1763947337143,961,124,1
1763947337156,963,124,1
1763947337171,965,124,1
1763947337176,967,124,1
1763947337188,970,125,1
1763947337191,972,125,1
1763947337204,973,125,1
1763947337207,975,126,1
1763947337219,977,126,1
1763947337223,978,126,1
1763947337235,979,126,1
1763947337238,980,127,1
1763947337251,982,127,1
1763947337255,983,127,1
1763947337268,985,128,1
1763947337271,987,130,1
1763947337284,988,130,1
1763947337287,990,131,1
1763947337302,994,132,1
1763947337316,995,133,1
1763947337318,997,134,1
1763947337331,998,134,1
1763947337335,999,135,1
1763947337347,1007,137,1
1763947337350,1010,138,1
1763947337364,1018,140,1
1763947337367,1024,142,1
1763947337380,1035,145,1
1763947337383,1043,147,1
1763947337397,1050,149,1
1763947337400,1056,151,1
1763947337411,1062,153,1
1763947337415,1066,154,1
1763947337427,1071,157,1
1763947337431,1076,158,1
1763947337443,1081,160,1
1763947337446,1084,162,1
1763947337459,1089,163,1
1763947337462,1094,165,1
1763947337475,1099,167,1
1763947337478,1103,167,1
1763947337492,1108,169,1
1763947337494,1110,170,1
1763947337507,1111,171,1
1763947337511,1115,171,1
1763947337523,1118,171,1
1763947337527,1123,173,1
1763947337544,1127,175,1
1763947337547,1131,176,1
1763947337558,1135,177,1
1763947337563,1139,177,1
1763947337577,1142,178,1
1763947337578,1145,179,1
1763947337591,1148,180,1
1763947337595,1151,181,1
1763947337608,1153,181,1
1763947337611,1156,182,1
1763947337624,1159,182,1
1763947337626,1161,183,1
1763947337639,1163,184,1
1763947337644,1165,185,1
1763947337656,1167,186,1
1763947337659,1171,187,1
1763947337673,1174,189,1
1763947337674,1176,190,1
1763947337687,1180,193,1
1763947337692,1185,196,1
1763947337704,1188,198,1
1763947337707,1192,200,1
1763947337720,1195,203,1
1763947337723,1199,205,1
1763947337737,1202,208,1
1763947337739,1207,211,1
1763947337752,1209,212,1
1763947337755,1213,215,1
1763947337768,1216,217,1
1763947337771,1218,220,1
1763947337783,1222,223,1
1763947337787,1224,225,1
1763947337800,1229,227,1
1763947337803,1232,231,1
1763947337816,1236,234,1
1763947337818,1240,236,1
1763947337832,1245,239,1
1763947337835,1248,242,1
1763947337848,1253,246,1
1763947337851,1258,249,1
1763947337863,1262,253,1
1763947337867,1264,255,0
1763947337882,1269,260,0
1763947337883,1271,263,0
1763947337895,1276,268,0
1763947337898,1280,271,0
1763947337912,1283,275,0
1763947337914,1287,281,0
1763947337927,1291,286,0
1763947337930,1295,289,0
1763947337943,1299,295,0
1763947337947,1304,301,0
1763947337959,1308,307,0
1763947337962,1311,312,0
1763947337976,1316,319,0
1763947337978,1320,323,0
1763947337991,1322,328,0
1763947337994,1325,334,0
1763947338007,1327,337,0
1763947338010,1329,341,0
1763947338023,1332,346,0
1763947338026,1332,349,0
1763947338039,1333,353,0
1763947338044,1336,358,0
1763947338055,1338,363,0
1763947338059,1339,368,0
1763947338071,1342,374,0
1763947338075,1344,379,0
1763947338089,1344,383,0
1763947338091,1345,387,0
1763947338104,1346,390,0
1763947338108,1347,396,0
1763947338120,1349,401,0
1763947338124,1349,404,0
1763947338136,1350,409,0
1763947338139,1350,413,0
1763947338152,1350,416,0
1763947338155,1350,420,0
1763947338168,1351,424,0
1763947338171,1351,427,0
1763947338184,1351,431,0
1763947338188,1351,436,0
1763947338201,1351,439,0
1763947338203,1351,442,0
1763947338215,1351,446,0
1763947338220,1350,449,0
1763947338232,1349,452,0
1763947338235,1349,456,0
1763947338248,1348,459,0
1763947338250,1348,462,0
1763947338263,1346,467,0
1763947338267,1345,469,0
1763947338281,1344,473,0
1763947338283,1342,478,0
1763947338295,1342,481,0
1763947338298,1341,485,0
1763947338311,1341,487,0
1763947338315,1339,491,1
1763947338327,1338,494,1
1763947338331,1336,498,1
1763947338343,1335,501,1
1763947338347,1334,503,1
1763947338359,1333,507,1
1763947338363,1331,509,1
1763947338376,1329,512,1
1763947338378,1329,515,1
1763947338392,1328,518,1
1763947338395,1326,521,1
1763947338408,1326,523,1
1763947338411,1324,526,1
1763947338424,1323,529,1
1763947338427,1323,532,1
1763947338439,1321,537,1
1763947338443,1320,540,1
1763947338455,1318,545,1
1763947338458,1317,547,1
1763947338472,1316,551,1
1763947338475,1315,554,1
1763947338489,1314,557,1
1763947338493,1313,560,1
1763947338503,1313,562,1
1763947338507,1311,567,1
1763947338519,1309,570,1
1763947338523,1308,573,1
1763947338536,1306,577,1
1763947338538,1305,580,1
1763947338552,1303,584,1
1763947338555,1302,586,1
1763947338568,1300,591,1
1763947338570,1297,595,1
1763947338584,1297,598,1
1763947338587,1295,603,1
1763947338602,1294,606,1
1763947338603,1291,612,1
1763947338616,1289,616,1
1763947338618,1289,620,1
1763947338631,1287,625,1
1763947338634,1286,630,1
1763947338648,1283,637,1
1763947338650,1281,640,1
1763947338662,1279,645,1
1763947338667,1278,648,1
1763947338678,1276,652,1
1763947338683,1274,658,1
1763947338696,1272,661,1
1763947338698,1269,667,1
1763947338710,1266,673,1
1763947338715,1265,677,1
1763947338728,1262,682,1
1763947338731,1259,687,1
1763947338742,1256,692,1
1763947338747,1252,699,1
1763947338760,1249,705,1
1763947338763,1246,710,1
1763947338775,1243,714,1
1763947338778,1240,720,1
1763947338792,1238,724,1
1763947338795,1233,730,1
1763947338806,1229,736,1
1763947338811,1227,739,1
1763947338824,1223,744,1
1763947338827,1220,749,1
1763947338839,1217,752,1
1763947338843,1213,757,1
1763947338856,1208,762,1
